"var1","var2"
19.7563,43.9989
59.923,30.9874
18.3361,35.3589
21.4057,24.8936
36.9454,44.7427
NA,16.4127
NA,30.6306
NA,32.3155
7.294,23.31
36.6592,11.3934
14.4237,43.5802
35.9599,36.4927
NA,51.5013
24.2733,22.2973
71.4424,29.2126
7.3881,23.0673
NA,33.314
13.4978,17.3385
22.9193,15.5282
NA,69.4729
59.8898,41.5901
53.6704,27.043
42.1822,49.6432
94.8542,65.7549
123.3528,59.7339
31.7035,33.8343
39.7648,30.4048
81.9553,62.3025
NA,52.1236
NA,43.5727
37.772,43.5631
56.2207,53.8074
15.8853,15.2404
166.624,83.2276
NA,74.9178
26.536,22.2186
NA,40.4096
90.6507,51.6572
43.6774,52.8835
NA,48.3253
92.9212,21.8586
82.8565,26.7771
102.7557,59.8793
62.17,44.9718
NA,29.4502
18.0956,32.8652
3.4072,24.6706
124.7812,31.3392
153.0169,27.674
4.3867,32.5023
168.8512,71.2956
28.2227,29.2966
1.0037,16.0399
64.9405,60.6963
34.668,42.6688
81.9539,67.1084
59.1263,52.5249
70.7124,76.3335
26.4814,46.9117
174.5114,67.2819
48.7507,28.8317
34.0596,26.8356
3.762,13.6968
NA,32.1887
NA,90.4536
16.8561,46.6312
16.775,28.4475
41.1924,41.4972
36.8985,20.1839
NA,55.3978
NA,25.9144
4.9578,11.6686
NA,73.1441
NA,131.7563
53.872,34.2237
53.8573,6.5511
NA,35.2457
96.0295,76.8945
NA,57.3742
96.0495,61.9148
4.76,15.6483
52.8414,20.7321
65.9288,35.9572
75.1421,99.4297
28.1142,26.6884
NA,31.3956
142.5874,82.0757
11.2014,18.1209
31.0667,43.289
NA,139.9411
NA,34.5966
122.5008,68.7922
99.3882,46.19
117.7165,69.7657
69.7099,34.7736
26.8083,29.7175
142.1453,43.0969
119.587,81.242
97.2227,20.8475
50.2689,50.8912
NA,29.7597
78.9954,53.9273
NA,74.7404
NA,91.7972
52.1408,45.3526
75.6175,58.1407
22.3322,15.4847
NA,138.3289
149.6955,54.5462
21.367,14.4489
NA,57.5493
NA,100.9077
23.3562,18.9779
114.5737,55.572
79.1904,67.5666
38.7451,33.8873
60.373,32.9057
3.233,10.9548
NA,44.3151
NA,22.4757
74.153,53.9537
40.1761,27.1368
165.2106,62.0323
8.9415,25.4231
NA,91.4271
3.4527,9.6331
42.8418,52.2036
70.01,65.3373
24.257,25.6291
NA,39.2688
112.1331,85.9638
66.1534,49.4889
180.5141,72.9722
16.9376,19.735
88.1229,33.4898
25.4876,24.629
30.5784,27.8304
NA,119.976
126.8654,44.4705
29.3228,48.0836
NA,44.04
81.6594,47.3023
NA,27.5793
124.9879,63.01
166.2521,42.4467
66.7611,27.5325
NA,91.1194
32.4628,25.3999
148.5417,80.3266
122.3125,78.6977
122.9439,82.3257
NA,66.949
82.2999,29.9581
33.6173,35.1989
38.9661,54.5659
7.0592,9.555
25.8107,34.5533
37.5851,35.5868
NA,57.2097
29.6538,24.398
9.7678,36.4647
17.981,25.5931
98.6576,33.7305
NA,68.0175
11.0387,31.9208
22.7437,26.2795
NA,48.0879
48.4388,78.1759
NA,30.8695
NA,46.6859
51.2892,61.5466
17.2675,45.9016
2.8958,12.9183
122.7145,47.4986
135.9429,90.1479
39.0786,38.2468
134.3971,66.4375
91.5463,49.7732
103.7273,87.3428
182.4611,86.2254
58.1698,73.935
83.2258,44.1665
69.498,54.2277
14.2629,28.6057
61.6926,30.8979
NA,131.4797
91.3019,50.4853
NA,66.3584
55.826,41.0484
84.5323,22.573
37.6604,21.4019
21.906,41.0329
85.0905,69.2342
122.1911,49.3204
13.5544,33.5001
80.8072,20.1145
66.8412,72.9054
48.2675,24.3655
28.1416,17.0523
78.9188,65.8321
NA,144.7733
47.0395,64.6934
9.3715,14.5972
12.0751,15.5218
51.0319,39.2802
51.4831,37.8866
94.3801,36.7518
138.1973,33.9022
47.0233,48.0669
102.409,56.3884
NA,67.2629
70.0614,64.6786
92.6383,42.1483
14.285,18.6819
NA,97.2171
255.6326,87.8642
NA,62.5915
5.5603,12.3539
81.0885,52.984
NA,56.6313
NA,78.4879
216.7745,136.6753
NA,33.8505
96.8263,51.8509
96.602,77.8611
NA,70.3008
24.2924,31.4297
5.2238,13.437
83.3287,26.4128
30.5575,27.6344
NA,116.9386
NA,40.1026
3.097,17.9453
107.7301,72.5803
20.5162,17.486
99.117,60.1467
45.1741,14.6369
33.684,30.1934
NA,50.6457
16.8623,18.214
NA,92.4084
76.6625,31.06
40.851,55.1747
2.7492,14.7366
34.6298,18.5152
103.1792,34.5971
155.5038,106.9574
NA,63.1337
23.1776,22.7164
12.5171,10.4238
NA,42.7002
113.2275,54.196
NA,32.9944
81.2447,68.4179
NA,25.9235
NA,48.1494
NA,80.6436
0.7157,13.1672
8.1526,17.3888
45.4525,43.2359
11.3185,16.8809
5.5246,24.0928
NA,64.3172
107.9609,44.1553
NA,94.1725
37.6063,19.9959
21.2918,31.5391
28.4266,15.2007
NA,27.2801
NA,32.5459
34.9134,31.076
144.1581,75.3922
36.5009,10.2812
29.6609,18.6722
